id;chrun_per_tick;cron_schedule;delay
1;Bahamian Dollar;24/7;94290
2;conglomeration;Oklahoma facilitate;6489
3;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;60956
4;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093
5;Way Dominican Republic;Bulgarian Lev navigate;23763
6;transmitter;Point Orchestrator;39882
7;bypassing optical;installation;18651
8;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;9617
9;Quality;synthesize Creative;13752
10;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216
