id;users_acquired_per_tick;cron_schedule;jhi_repeat;delay
1;Borders content-based;Tasty Customer Human;63310;18870
2;even-keeled Saint Helena Pound;Internal AI optical;64203;85092
3;Marketing;Dynamic Home Loan Account Tools;10147;94013
4;Supervisor clear-thinking;Latvia;69189;44842
5;Manager Fish;Networked;32539;17882
6;world-class program alarm;Nevada;9367;50881
7;withdrawal Ergonomic;Strategist target;89204;90609
8;users dot-com;North Dakota Cambridgeshire;19524;23018
9;Bedfordshire Alaska calculate;Chips;94045;46994
10;uniform PCI back up;Tactics architectures Planner;96361;98033
